"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2023-2-8","1,669.88","1,672.42","1,694.32","1,668.33","473.06K","-0.09%"
"2023-2-7","1,671.43","1,613.20","1,676.81","1,613.20","451.93K","3.58%"
"2023-2-6","1,613.71","1,628.84","1,657.75","1,606.60","384.10K","-0.97%"
"2023-2-5","1,629.45","1,666.09","1,671.90","1,612.70","413.57K","-2.25%"
"2023-2-4","1,666.92","1,663.39","1,694.63","1,646.10","308.14K","0.19%"
"2023-2-3","1,663.78","1,644.56","1,673.57","1,628.73","465.56K","1.35%"
"2023-2-2","1,641.56","1,643.72","1,710.24","1,632.60","628.35K","-0.04%"
"2023-2-1","1,642.18","1,585.51","1,647.28","1,560.22","474.68K","3.59%"
"2023-1-31","1,585.25","1,566.00","1,602.00","1,562.03","348.47K","1.20%"
"2023-1-30","1,566.50","1,644.81","1,647.32","1,540.29","595.08K","-4.83%"
"2023-1-29","1,646.00","1,572.11","1,657.18","1,566.91","551.82K","4.63%"
"2023-1-28","1,573.11","1,597.62","1,605.95","1,561.38","313.56K","-1.53%"
"2023-1-27","1,597.61","1,602.14","1,620.12","1,560.24","512.50K","-0.31%"
"2023-1-26","1,602.60","1,613.59","1,629.83","1,581.74","533.32K","-0.53%"
"2023-1-25","1,611.22","1,553.98","1,638.98","1,523.70","646.45K","3.55%"
"2023-1-24","1,555.97","1,626.00","1,641.20","1,539.60","462.28K","-4.34%"
"2023-1-23","1,626.53","1,627.18","1,643.71","1,591.82","407.24K","-0.03%"
"2023-1-22","1,627.01","1,626.68","1,662.10","1,609.36","431.74K","0.09%"
"2023-1-21","1,625.49","1,655.36","1,678.51","1,622.88","494.56K","-2.08%"
"2023-1-20","1,660.02","1,550.81","1,662.28","1,543.24","440.92K","7.02%"
"2023-1-19","1,551.09","1,510.63","1,560.69","1,510.63","308.69K","2.64%"
"2023-1-18","1,511.24","1,566.18","1,604.75","1,505.36","752.35K","-3.41%"
"2023-1-17","1,564.63","1,576.60","1,603.29","1,544.30","506.70K","-0.78%"
"2023-1-16","1,576.93","1,551.79","1,598.18","1,526.46","574.57K","1.56%"
"2023-1-15","1,552.69","1,549.31","1,564.36","1,517.35","387.73K","0.17%"
"2023-1-14","1,550.06","1,450.88","1,574.44","1,449.48","940.70K","6.84%"
"2023-1-13","1,450.89","1,415.15","1,463.51","1,402.01","499.35K","2.46%"
"2023-1-12","1,416.08","1,389.52","1,435.99","1,365.45","878.39K","1.89%"
"2023-1-11","1,389.84","1,335.63","1,392.37","1,322.10","472.34K","4.10%"
"2023-1-10","1,335.14","1,320.33","1,344.42","1,316.92","459.70K","1.11%"
"2023-1-9","1,320.49","1,290.22","1,344.38","1,285.94","582.00K","2.50%"
"2023-1-8","1,288.25","1,264.24","1,288.71","1,259.17","212.71K","1.93%"
