"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2021-7-30","0.003400","0.003460","0.003700","0.003220","162.59K","-1.73%"
"2021-7-29","0.003460","0.003670","0.003740","0.003420","178.30K","-5.72%"
"2021-7-28","0.003670","0.003600","0.004200","0.003480","274.39K","1.66%"
"2021-7-27","0.003610","0.003690","0.003960","0.003150","274.79K","-1.90%"
"2021-7-26","0.003680","0.002990","0.004410","0.002950","461.71K","23.08%"
"2021-7-25","0.002990","0.002990","0.003040","0.002920","183.04K","-3.55%"
"2021-7-24","0.003100","0.002810","0.003610","0.002750","181.90K","10.32%"
"2021-7-23","0.002810","0.002890","0.002890","0.002770","79.89K","-2.43%"
"2021-7-22","0.002880","0.002840","0.002910","0.002780","85.86K","1.41%"
"2021-7-21","0.002840","0.002890","0.003060","0.002780","119.92K","-2.41%"
"2021-7-20","0.002910","0.003130","0.003130","0.002760","113.45K","-7.03%"
"2021-7-19","0.003130","0.003260","0.003270","0.003040","69.94K","-3.99%"
"2021-7-18","0.003260","0.003220","0.003330","0.003090","74.02K","1.24%"
"2021-7-17","0.003220","0.003330","0.003530","0.003130","88.29K","-3.30%"
"2021-7-16","0.003330","0.003630","0.003630","0.003320","56.74K","-8.01%"
"2021-7-15","0.003620","0.003730","0.003930","0.003510","65.67K","-2.95%"
"2021-7-14","0.003730","0.004700","0.004700","0.003710","174.29K","-19.78%"
"2021-7-13","0.004650","0.003100","0.004660","0.003010","292.43K","50.00%"
"2021-7-12","0.003100","0.002830","0.003100","0.002790","80.88K","9.93%"
"2021-7-11","0.002820","0.002740","0.002940","0.002700","66.85K","2.92%"
"2021-7-10","0.002740","0.002770","0.002830","0.002690","49.68K","-0.72%"
"2021-7-9","0.002760","0.002810","0.002810","0.002630","83.12K","-1.78%"
"2021-7-8","0.002810","0.002770","0.002810","0.002600","199.40K","0.72%"
"2021-7-7","0.002790","0.002770","0.002810","0.002700","210.48K","1.45%"
"2021-7-6","0.002750","0.002940","0.002940","0.002690","268.30K","-6.78%"
"2021-7-5","0.002950","0.002770","0.002950","0.002710","269.13K","6.50%"
"2021-7-4","0.002770","0.002690","0.002770","0.002690","188.30K","-1.07%"
"2021-7-3","0.002800","0.002860","0.002860","0.002750","193.32K","-1.75%"
"2021-7-2","0.002850","0.002850","0.002900","0.002790","216.20K","0.00%"
"2021-7-1","0.002850","0.002820","0.002850","0.002710","198.22K","1.06%"
"2021-6-30","0.002820","0.002700","0.003030","0.002700","258.07K","3.68%"
"2021-6-29","0.002720","0.002560","0.002720","0.002560","178.23K","5.84%"
"2021-6-28","0.002570","0.002560","0.002570","0.002480","186.25K","0.39%"
"2021-6-27","0.002560","0.002730","0.002730","0.002560","187.49K","-6.57%"
"2021-6-26","0.002740","0.002490","0.002910","0.002490","285.61K","10.04%"
"2021-6-25","0.002490","0.002500","0.002530","0.002460","183.25K","-0.40%"
"2021-6-24","0.002500","0.002270","0.002500","0.002270","226.04K","10.13%"
"2021-6-23","0.002270","0.002190","0.002270","0.002180","237.64K","4.61%"
"2021-6-22","0.002170","0.002430","0.002430","0.002010","281.09K","-10.33%"
"2021-6-21","0.002420","0.002900","0.002900","0.002420","136.91K","-16.55%"
"2021-6-20","0.002900","0.003110","0.003110","0.002810","73.48K","-6.75%"
"2021-6-19","0.003110","0.003090","0.003110","0.003030","18.75K","0.97%"
"2021-6-18","0.003080","0.003180","0.003180","0.003060","27.42K","-3.14%"
"2021-6-17","0.003180","0.003240","0.003240","0.003180","23.09K","-1.85%"
"2021-6-16","0.003240","0.003150","0.003240","0.003120","32.02K","2.86%"
"2021-6-15","0.003150","0.003160","0.003170","0.003090","29.44K","-0.32%"
"2021-6-14","0.003160","0.003230","0.003270","0.003150","46.77K","-2.17%"
"2021-6-13","0.003230","0.003120","0.003320","0.003120","49.10K","1.57%"
"2021-6-12","0.003180","0.003520","0.003520","0.003110","66.13K","-9.66%"
"2021-6-11","0.003520","0.003630","0.003630","0.003450","40.67K","-3.03%"
"2021-6-10","0.003630","0.003560","0.003630","0.003490","60.55K","1.97%"
"2021-6-9","0.003560","0.003300","0.003560","0.003280","84.98K","7.88%"
"2021-6-8","0.003300","0.003320","0.003320","0.003250","159.36K","-0.30%"
"2021-6-7","0.003310","0.003450","0.003450","0.003310","246.95K","-4.06%"
"2021-6-6","0.003450","0.003440","0.003460","0.003400","294.50K","1.17%"
"2021-6-5","0.003410","0.003420","0.003420","0.003350","191.08K","-0.29%"
"2021-6-4","0.003420","0.003530","0.003530","0.003420","197.83K","-3.12%"
"2021-6-3","0.003530","0.003450","0.003900","0.003450","334.23K","2.32%"
"2021-6-2","0.003450","0.003490","0.003520","0.003340","327.92K","-0.86%"
"2021-6-1","0.003480","0.003300","0.003590","0.003300","388.24K","5.14%"
"2021-5-31","0.003310","0.003680","0.003680","0.003310","351.87K","-8.82%"
"2021-5-30","0.003630","0.003710","0.003740","0.003530","293.51K","-2.42%"
"2021-5-29","0.003720","0.003750","0.003750","0.003530","331.74K","-0.53%"
"2021-5-28","0.003740","0.003500","0.003740","0.003500","482.61K","7.47%"
"2021-5-27","0.003480","0.003460","0.003480","0.003390","301.97K","0.29%"
"2021-5-26","0.003470","0.003440","0.003470","0.003370","335.08K","-0.86%"
"2021-5-25","0.003500","0.003420","0.003570","0.003350","370.29K","2.94%"
"2021-5-24","0.003400","0.003700","0.003700","0.003370","452.65K","-8.60%"
"2021-5-23","0.003720","0.003820","0.003980","0.003540","310.29K","-2.36%"
"2021-5-22","0.003810","0.004030","0.004030","0.003730","227.40K","-5.22%"
"2021-5-21","0.004020","0.004930","0.004930","0.003920","264.31K","-18.79%"
"2021-5-20","0.004950","0.003360","0.004950","0.003360","484.04K","47.32%"
"2021-5-19","0.003360","0.003440","0.003990","0.003200","344.40K","-2.33%"
"2021-5-18","0.003440","0.003470","0.003470","0.003330","169.98K","0.88%"
"2021-5-17","0.003410","0.003420","0.003440","0.003300","229.36K","-0.29%"
"2021-5-16","0.003420","0.003360","0.003480","0.003280","320.19K","1.48%"
"2021-5-15","0.003370","0.003280","0.003370","0.003240","300.31K","2.43%"
"2021-5-14","0.003290","0.003320","0.003450","0.003250","329.09K","-0.60%"
"2021-5-13","0.003310","0.003120","0.003310","0.003120","462.83K","6.43%"
"2021-5-12","0.003110","0.003540","0.003540","0.003110","276.67K","-11.90%"
"2021-5-11","0.003530","0.003460","0.003640","0.003420","304.21K","2.62%"
"2021-5-10","0.003440","0.003890","0.003890","0.003440","254.23K","-11.57%"
"2021-5-9","0.003890","0.004040","0.004040","0.003780","237.87K","-3.71%"
"2021-5-8","0.004040","0.004630","0.004630","0.004020","230.38K","-12.74%"
"2021-5-7","0.004630","0.004770","0.005040","0.004620","249.30K","-2.32%"
"2021-5-6","0.004740","0.004520","0.004740","0.004490","259.32K","4.64%"
"2021-5-5","0.004530","0.004390","0.004560","0.004380","248.90K","1.80%"
"2021-5-4","0.004450","0.004770","0.004770","0.004280","243.41K","-7.29%"
"2021-5-3","0.004800","0.005600","0.005650","0.004800","212.68K","-13.82%"
"2021-5-2","0.005570","0.005290","0.005680","0.005290","222.07K","5.29%"
"2021-5-1","0.005290","0.005610","0.005610","0.005210","216.06K","-5.87%"
"2021-4-30","0.005620","0.005330","0.005620","0.005330","205.01K","5.44%"
"2021-4-29","0.005330","0.005420","0.005420","0.005230","208.83K","-1.66%"
"2021-4-28","0.005420","0.005850","0.005850","0.005300","208.49K","-7.35%"
"2021-4-27","0.005850","0.005680","0.006230","0.005680","206.53K","2.99%"
"2021-4-26","0.005680","0.005070","0.005840","0.005070","287.18K","12.25%"
"2021-4-25","0.005060","0.005160","0.005480","0.005040","274.50K","-1.94%"
"2021-4-24","0.005160","0.005210","0.005270","0.005050","268.51K","-1.15%"
"2021-4-23","0.005220","0.005520","0.005520","0.004790","328.80K","-5.09%"
"2021-4-22","0.005500","0.006570","0.006570","0.005460","226.41K","-16.54%"
"2021-4-21","0.006590","0.007290","0.007290","0.006590","175.54K","-9.48%"
"2021-4-20","0.007280","0.008080","0.008080","0.007270","231.56K","-9.57%"
"2021-4-19","0.008050","0.008820","0.008850","0.008050","247.57K","-8.94%"
"2021-4-18","0.008840","0.007510","0.009090","0.007510","344.18K","17.55%"
"2021-4-17","0.007520","0.007380","0.007850","0.006730","296.31K","1.90%"
"2021-4-16","0.007380","0.005600","0.007970","0.005600","502.41K","31.55%"
"2021-4-15","0.005610","0.005440","0.005610","0.005360","175.93K","2.94%"
"2021-4-14","0.005450","0.005970","0.005970","0.005400","181.99K","-8.40%"
"2021-4-13","0.005950","0.006360","0.006360","0.005860","143.93K","-6.59%"
"2021-4-12","0.006370","0.006560","0.006560","0.006330","130.36K","-3.04%"
"2021-4-11","0.006570","0.006700","0.006700","0.006320","183.18K","-1.79%"
"2021-4-10","0.006690","0.006950","0.007040","0.006440","221.11K","-3.46%"
"2021-4-9","0.006930","0.006340","0.006970","0.006340","247.50K","8.62%"
"2021-4-8","0.006380","0.006000","0.006430","0.006000","235.23K","6.33%"
"2021-4-7","0.006000","0.006330","0.006560","0.005850","266.22K","-5.51%"
"2021-4-6","0.006350","0.006820","0.006820","0.006290","241.14K","-6.89%"
"2021-4-5","0.006820","0.007430","0.007430","0.006790","216.43K","-8.21%"
"2021-4-4","0.007430","0.007080","0.007920","0.007080","225.43K","4.94%"
"2021-4-3","0.007080","0.007440","0.008000","0.007080","262.65K","-4.58%"
"2021-4-2","0.007420","0.007530","0.007530","0.007120","257.81K","-1.85%"
"2021-4-1","0.007560","0.008280","0.008510","0.007560","228.82K","-8.70%"
"2021-3-31","0.008280","0.007670","0.008280","0.007670","226.14K","8.24%"
"2021-3-30","0.007650","0.007420","0.007650","0.007290","202.23K","3.24%"
"2021-3-29","0.007410","0.007410","0.007410","0.007090","202.41K","0.14%"
"2021-3-28","0.007400","0.007210","0.007400","0.007170","193.88K","2.64%"
"2021-3-27","0.007210","0.006870","0.007450","0.006870","207.29K","5.10%"
"2021-3-26","0.006860","0.006930","0.007020","0.006860","199.61K","-1.15%"
"2021-3-25","0.006940","0.007270","0.007270","0.006750","209.65K","-4.54%"
"2021-3-24","0.007270","0.007790","0.007790","0.007120","216.43K","-6.68%"
"2021-3-23","0.007790","0.007370","0.007790","0.007370","275.30K","5.13%"
"2021-3-22","0.007410","0.006670","0.007670","0.006640","314.03K","10.93%"
"2021-3-21","0.006680","0.006350","0.006680","0.006350","267.60K","5.20%"
"2021-3-20","0.006350","0.006630","0.006750","0.006350","247.05K","-3.93%"
"2021-3-19","0.006610","0.006690","0.006740","0.006570","216.86K","-1.20%"
"2021-3-18","0.006690","0.006710","0.006710","0.006500","229.18K","0.45%"
"2021-3-17","0.006660","0.006460","0.006930","0.006320","285.78K","3.58%"
"2021-3-16","0.006430","0.006710","0.006710","0.006360","219.09K","-4.17%"
"2021-3-15","0.006710","0.006850","0.006880","0.006610","234.08K","-2.19%"
"2021-3-14","0.006860","0.007000","0.007000","0.006620","220.09K","-1.72%"
"2021-3-13","0.006980","0.007340","0.007350","0.006690","224.50K","-4.90%"
